--- 合計 ---
費用: 45617262
売上: 61806550

--- 日付ごとの合計 ---
19000101 費用合計: 1570058 売上合計: 2134000
19000102 費用合計: 1129163 売上合計: 1512800
19000103 費用合計: 1210393 売上合計: 1638200
19000104 費用合計: 1461773 売上合計: 1970400
19000105 費用合計: 1286211 売上合計: 1767750
19000106 費用合計: 1336613 売上合計: 1802450
19000107 費用合計: 1645931 売上合計: 2207750
19000108 費用合計: 1602702 売上合計: 2174550
19000109 費用合計: 1651919 売上合計: 2279750
19000120 費用合計: 1421749 売上合計: 1906150
19000121 費用合計: 1511129 売上合計: 2034550
19000122 費用合計: 1422801 売上合計: 1928850
19000123 費用合計: 1570757 売上合計: 2104150
19000124 費用合計: 1577014 売上合計: 2153500
19000125 費用合計: 1416738 売上合計: 1955950
19000126 費用合計: 1332237 売上合計: 1792800
19000127 費用合計: 1621344 売上合計: 2174350
19000128 費用合計: 1452518 売上合計: 1973500
19000129 費用合計: 1631388 売上合計: 2192950
19000110 費用合計: 1415600 売上合計: 1898950
19000111 費用合計: 1538758 売上合計: 2121850
19000112 費用合計: 1498825 売上合計: 2070250
19000113 費用合計: 1488278 売上合計: 2023050
19000114 費用合計: 1504153 売上合計: 2045100
19000115 費用合計: 1678613 売上合計: 2255350
19000116 費用合計: 1426249 売上合計: 1909100
19000117 費用合計: 1383699 売上合計: 1868900
19000118 費用合計: 1433028 売上合計: 1942250
19000119 費用合計: 1570323 売上合計: 2117800
19000130 費用合計: 1322328 売上合計: 1796750
19000131 費用合計: 1504970 売上合計: 2052800
費用総合計:  45617262 売上総合計:  61806550
